Index,GO,Genes,Gene_Count,Truth Label
11519,GO:0010897,GPLD1 APOC3 PLIN5 SORL1 PIK3CG,5,negative regulation of triglyceride catabolic process
11520,GO:0048641,MEGF10 SHH WNT3A CTNNB1 WNT10B MEF2C DLL1 YBX3 USP19 MYOG NIBAN2 LMOD3 TWIST1 SHOX2 BCL2 MYF5 FLOT1 ACVR1 CDON MTM1 RPS6KB1 MYOD1 IGF2 MYF6 PRKAA1 ACTN3 TGFB1,27,regulation of skeletal muscle tissue development
11521,GO:0061870,AKAP12 ACTA2,2,positive regulation of hepatic stellate cell migration
11522,GO:0070203,TCP1 CCT3 WRAP53 CCT6A CCT5 DKC1 CCT7 TERF1 CCT2 CCT4 CCT8,11,regulation of establishment of protein localization to telomere
11523,GO:0032446,DCAF12 FANCI RNF145 FANCC TRIM52 RNF144A FBXO3 RNF128 CUL1 FBXO32 DCUN1D5 GPR75-ASB3 TRIM7 SUZ12 RNF115 SUMO3 RNF135 OBI1 LRR1 ZNF598 FZR1 UBA2 UBE2C CDC14B RNF152 RNF103 CUL5 SOCS1 MARCHF4 NEURL4 AKTIP FSCB UBQLN1 KCTD13 UBXN2A UBR2 GID4 RNF34 MTA1 UBE2F RPS3 DCAF10 E4F1 SMAD7 FANCE RNF10 FANCB MKRN3 RFWD3 SPOP CTU1 MED31 RAB40A FBXO44 BARD1 SMURF1 UCHL3 TRAF6 TRIM55 WASHC1 MED24 IFI27 ASB15 ARRDC3 RNF24 NPM1 HIF1A WDTC1 HERPUD1 KLHL17 PEF1 CCNF RNF150 VCP DCAF4 TSG101 SPRY2 ZBTB16 FBXW7 MED27 LONRF3 UBE2Z RNF38 LRSAM1 GNL3 EPAS1 MASTL PJA2 HECTD2 BRCC3 ZMIZ1 FANCL IRF2BPL BFAR PDCD6 USP4 RNF122 RIPK2 FANCA KCTD11 TRIM64C RNF212B WWP2 G2E3 VPS11 HMG20B RSPRY1 CUL9 RNF146 MKRN1 BIRC2 IFIH1 UBE2Q2 TRIM73 TMEM129 ASB13 AXIN1 RNF157 TRIML2 ISG15 RNF149 RNF2 TTC36 UBE3C UNKL RLIM MARCHF5 TRIM26 HERC1 ZSWIM2 KLHL40 UBE2H SASH1 TRIM49D1 DAXX KBTBD13 SMC5 UBA7 UBE2QL1 NPEPPS PRICKLE1 PML ASB4 COMMD3-BMI1 TRIM69 CDC20B ARRB2 NSMCE1 DCAF15 WDSUB1 PINK1 KLHL10 RAB40AL FANCM UBE2E1 RING1 C10orf90 PLAA SPRTN MED8 UBD WBP1L KLHL13 UBE2B PJA1 RNF223 UFM1 UBE2I PCGF2 MUL1 ATG7 SEPTIN4 VHL PIN1 BIRC3 RAB40C ITCH HERC3 CBLC UBE2A UHRF1 FEM1A PPIL2 PSEN1 ZFP91 CDC42 NFATC2IP HSP90AA1 NEDD4 TRIM44 SAE1 NEDD8 RNF185 UBE2V2 SH3RF2 SUMO4 UBE3A SOCS3 TRIM48 RNF123 SHPRH TRIM6 FBXO30 TRAF3 FBXO4 PRR7 RPL23 RANBP2 DDB2 SOCS6 SKP1 PDZRN3 ANKRD9 KLHL21 DTX1 ASB1 ADGRB1 KLHL25 FBXO31 DDB1 KCTD21 N4BP1 RNF208 TOLLIP TRIML1 TULP4 TOPORS DTX4 FANCF SPSB2 NEURL1 COPS3 FBXO2 RNF14 USP7 RNF166 KCTD9 TRIM8 ZSWIM8 ENTREP1 MINAR1 CHP1 HSPA1A APPBP2 TRIM49 TNKS2 RNF19B ASB16 UBE2D1 ZNF451 BTRC ANAPC1 BRCA2 UBR4 RNF183 CBLL2 ATG3 RAG1 TRIM49D2 KLHL7 CNOT4 MOCS3 RNF217 ASB10 XIAP RFPL4A DCAF6 MAGEF1 COMMD1 TRIM32 RNF139 DCAF5 BCL2 MSL2 MAEA TRIM36 DTX2 FBXL2 TSPO GPS1 TRAF2 SOX4 SOCS5 TRAF7 VCPIP1 KLHL8 FBXL12 AIMP2 WAC DDRGK1 CAV1 COPS9 GCLC COP1 TRIM28 NFE2L2 RNF181 ANAPC5 UBE2R2 PARK7 GSK3A OS9 FBXL6 FBXO27 TRIM45 RNF151 TRIM74 UBE2E3 UBE4B RC3H1 ASB17 RNF187 UBA52 RNF121 BCOR RNF148 TRIM43B SOCS2 PAXIP1 DCUN1D1 UFC1 CAND2 UFL1 NMI RPS20 RWDD3 FAAP20 UBR3 NCCRP1 CDK5 TRIM13 LNX1 ASB6 RAD18 U2AF2 EGR1 GPS2 TRIM49C RNF111 COPS4 WDR48 CCNB1IP1 TRIM31 COPS6 MED11 PINX1 MALT1 UBE2D2 TRIM34 ANGPT1 RNF44 HUWE1 MIB1 PRAMEF6 TRIM68 PRKN FBXL5 NUB1 RNF114 RNF4 RACK1 UHRF2 LNX2 BAG5 KDM1A LTN1 TRIM39 OTUB1 LAPTM5 TRIM5 SOCS7 HERC2 HECTD1 ANKIB1 HSP90AB1 MTBP ABL1 TRAIP MYCBP2 NXN PPP1R11 TRAF5 RNF168 UBAC1 UBE2G2 ASB18 ANAPC16 MAD2L1 TRIM47 BTBD1 DCAF7 C18orf25 ASB14 HDAC8 WFS1 CDC20 RNF13 NAE1 TRIM17 RAD51 TRAF1 BCL10 UBE2N SVBP PRKCG TRPC4AP RNF40 UBE2G1 BABAM2 ENC1 TRIM58 CDC34 UBA6 PTTG1IP FEM1C UBE2J1 TAF1 BMI1 RBBP6 UBR5 UBE2V1 TRIM77 DCAF8 SUMO1 MARCHF8 MARCHF7 EIPR1 FBXO33 RFPL4AL1 NHLRC3 RPL11 RNF175 UBE2J2 NFX1 GLMN DCUN1D3 FBXL7 TRIM64B PEX12 MEX3C ZC3HC1 PRAMEF15 ELOC SENP2 TRIM33 RNF213 PCNP TRPM4 SMC6 BRAP FBXL15 RAB40B TRIM27 TNKS SH3RF1 TRIM24 CENPX KBTBD6 FBXL17 DDX3X TRIM25 COPS5 LZTR1 UBE2T NEUROD2 RASSF5 TRIM41 RNF170 KLHDC3 TBC1D7-LOC100130357 CBLB BUB3 PEX10 DCAF11 NEURL3 WSB2 GABARAP MARCHF1 RNF5 USP5 PELI3 CDC26 FBXO24 RNF125 FBXW2 UBE4A TRIM71 ATXN7L3 RNF215 DCAF13 BCL11A PAF1 SLF1 MAPK9 PEDS1-UBE2V1 ZNRF1 UBE2NL SLF2 SDE2 RNF43 SPHK1 KLHL22 MAGEC2 TRIM64 RC3H2 UBE2Q1 DTL IRF2BP1 SYVN1 MED7 SIRT1 FAAP100 CDC16 PARP10 TSPYL5 HDAC7 SH3RF3 CENPS UBE2K UVSSA TPP2 COPS7B HLTF LRRC41 HMG20A PSMD10 COPS8 ARIH2 KLHL36 CBX8 HSPBP1 USP9X RNF138 RNF167 MIB2 RNF216 MARCHF3 RCHY1 RPL5 DCST1 ARRB1 TICAM1 SPSB4 TRIM21 ERCC8 UBE3D CBX4 RNF6 FBXO38 CUL4A TRIM10 FBXW5 UBR7 CAND1 MEFV TGFBR1 CTNNB1 FBXO9 TRIP12 FBXO45 TRIM61 NHLRC1 SKP2 PHF23 KLHDC1 RUSC1 FBXL3 NOSIP UBB PCGF3 UBE2D4 TRIM9 DCUN1D2 PEX2 CAMLG FBXO43 COPS7A FBH1 RFPL3 EYA1 TRIM3 ASB8 FBXO10 TRIM35 KLHL24 MAGEA2B PCGF1 HDAC3 MAGEL2 MARCHF6 RNFT1 RMND5A ARRDC4 SUMO2 ARNT MARCHF9 LMO7 RNF144B PTPN22 RNF126 NDFIP1 ABCB11 EID3 CUL2 SPSB1 THOP1 FBXW11 OGT FBXO25 ZBED1 DERL1 RAG2 TRIM50 SHARPIN KLHL41 INAVA DZIP3 RBCK1 PIAS2 PTEN FYN UBR1 FBXL22 ANKRD39 PCGF6 TTC3 RNF26 ZNRF4 RNF41 MGRN1 FKBP1A NSMCE3 PIAS3 RASD2 SOCS4 RPS15 HDAC6 NOD2 CHFR UBE2S RNF169 PELI1 BUB1B MKRN2 RNF19A CDCA3 NSMCE2 KBTBD8 HSPA1B HERC6 SENP6 RBX1 ASB5 TSPAN17 KBTBD7 RNF141 TRIM4 ATG10 DET1 SIAH3 TRIM40 UBA3 VPS28 GTPBP4 PPIA CBL NSMCE4A CBLL1 FBXW8 RABGEF1 UBE2U DNAJB2 LEO1 TRIM49B UBE2L3 FBXO40 RNF20 NEURL2 STUB1 TRIM2 ASB7 UBC HERC5 MAD2L2 WSB1 KLHL12 HECW2 RNF214 WWTR1 TRIM37 TRIM38 RANGAP1 PRKCE UBE2E2 UBE3B ANAPC4 RNF165 AKT1 RNF11 STX1A HSPA5 BAG2 NEDD4L PLK1 NDFIP2 WWP1 FBXO17 RFFL RNF25 EGR2 RNF212 UBXN1 FOXF2 PRPF19 SMURF2 KLHL2 DTX3L RMND5B TRIM72 RNF7 TRIM14 MED12 HACE1 RNF112 TRIM59 CUL7 HECTD3 RNF180 TRIM43 DTX3 DDA1 RNF8 PRMT3 RNF133 CISH PRAME RNFT2 PIAS1 RNF31 KLHL42 BRCA1 SIRT7 PHC1 TRIM63 TRIM11 ASB2 FBXO11 RNF225 CTR9 KLHL9 PER2 LONRF1 ANAPC10 RPS7 FEM1B CDK5RAP3 UBE2W RPL37 LRRK2 RFPL2 RPS27A BLMH HERC4 CBFB UBE2O ASB3 TRIM62 KLHDC10 SPOPL USP22 UBE2D3 LIMK1 FBXO7 ASB12 SPSB3 DNAJA1 RNF186 ANAPC7 KCTD10 ARRDC1 CDC27 KCTD6 KLHDC2 FANCG MED10 MID2 DCUN1D4 LONRF2 COPS2 RNF182 ZNRF3 JADE2 SIAH2 SIAH1 RNF113A ASB11 ZC4H2 DCAF16 TBC1D7 ASB9 ZNRF2 AMER1 CUL4B DAW1 FAM107A MDM2 OTUB2 PCGF5 TRAF3IP2 RPS2 RNF130 TRIM51 PIAS4 KCMF1 UBE2M BIRC7 FBXO6 MARCHF11 MARCHF10 TNFAIP3 ATG5 CDKN1B MARCHF2 UBE2L6 KLHL20 UBA1 CDC23 FBXO21 TRIM23 CRY1 VPS18 FBXL14 TRIM54 TRIM22 HECW1 MYLIP MED30 UBOX5 URM1 KLHL3 KLHL15 MED17 FBXO28 RFPL1 TRIM56 TNFAIP1 KLHL18 ARIH1 DCAF17 CTU2 NHLRC4 TRIM60 FBXO5 TRIM15 NEURL1B RNF220 GNL3L TRIB3 RNF39 CENPS-CORT UBA5 CAPN3 AMFR ELOB BSPRY GAN USP44 OTULIN PELI2 FBXO22 SQSTM1 AREL1 CRBN DCAF1 KIAA1586 ANAPC11 BIRC6 CDC73 CUL3 AMBRA1 LNPEP MAGEA2 KEAP1 RELA HDAC4 ANAPC2 IVNS1ABP ANAPC13,888,protein modification by small protein conjugation
11524,GO:0015829,SLC7A5 SLC7A8 SLC3A2 SLC43A1,4,valine transport
11525,GO:1905462,TOP2A MCM2 POT1 SUB1 SSBP1 MNAT1 GTF2H2,7,regulation of DNA duplex unwinding
11526,GO:0043278,PPP2R2A PITX3 RGS4 DRD3 AIF1 PPP1R1B PRKCG GPI OPRK1 ADCY8 CXCR4 PCSK1 FOSB SRR TACR3 PRKCE FADD DRD2 CNR1 PENK OPRM1 TACR1 SLC1A1 PEA15 GHR PPP1R9B MAP1LC3A PPP5C,28,response to morphine
11527,GO:0090257,HAND2 NMU ROCK2 TMEM38B TRPM4 CACNA1C MYH7 ADRA2C FOXO1 ADRA2B CLIC2 GSTM2 STC1 FBXO32 MYLK2 TOMM70 TNNC1 ANXA6 GPR75-ASB3 TMEM38A SLN PRKG1 ATP1B1 TNNT2 PDE4B ABAT EDN1 MYOCD DSP CASQ2 IL6ST CALCRL SGCA ENO1 CALM2 CASQ1 RYR2 CAMK2D SPX LMNA ADRB2 DMD PLCE1 RPS6KB1 TIFAB GSTO1 CDK9 AKAP9 ORMDL3 G6PD PTGS2 TNNI3 ADA NOL3 ATP2A1 SMAD7 SLC9A1 CAV1 JARID2 UCN ITGA2 ACTN3 NR4A1 ADRA1B ACE2 CHRNA3 GATA5 OXT SPHK1 GSK3A FKBP1B RNF207 TNNT1 IGFBP5 EHD3 MYBPC3 KIT BIN1 PRKAG3 CHRM3 GJA5 DMPK PTAFR KCNB2 SCN5A SSTR2 CHRNB4 ATP2B1 PROK2 P2RX4 GATA4 TRIM63 GTF2IRD1 F2R TACR3 CAMK2G MYL9 NKX2-5 OXTR TNFRSF1B AKAP6 ADORA2B PLN PPARG CACNG1 PPARA TNNI2 CALCA CTTN FGF13 PI16 RANGRF ASB3 MSTN RGS2 SLC8A1 TRPV4 NPPA CTDP1 ATP1A2 GHSR BECN1 TBXA2R MYMK RGS4 YY1 ATP2B4 GPER1 TPM1 IGF1 CAMK2B KBTBD13 PKP2 KCNMA1 ATP2A2 DOCK5 MYL2 PDE5A ZDHHC21 ZC3H12A JUP SCN4A GRK2 CACNA1S CALM3 RHOA GHRL PRKACA HAMP ADORA1 PDE9A SLC8A3 TNNC2 SMAD4 GLRX3 AGT PPP1R12B DAG1 CHGA CALM1 LMCD1 DOCK4 CTNNA3 ANK2 EDN2 SRI MYL3 FOXP1 HRC PPP3CA DSC2 DLG1 SCN10A NMUR2 HCN4 FPGT-TNNI3K PRKCA DAPK3 MEF2A ROCK1 C12orf57 AIF1 CCN2 ABCC8 PARP1 MLIP ADRA1A ADRA2A DCANP1 PARP2 ERRFI1 NEUROG1 CHRM2 NOS1 FOXO3 MYOG SETD3 P2RX1 PDE4D PIK3CG TACR2 NOTCH1 SRF MYL5 SOD1 TWF1 KCNA1 TNFRSF1A KCNQ1 SUMO1 DSG2 NPNT TNNT3 GUCY1A1 ATP1A1 SMAD3 MTPN CAV3 CACNB1 TRPC3 KCNJ2 SELENON NR4A3 BMP10 TACR1 CNN1 MYBPH TNNI3K ARHGAP42 HDAC4 TNNI1 NOS3,232,regulation of muscle system process
11528,GO:0034164,GRAMD4 PTPRS LILRA4 RAB7B,4,negative regulation of toll-like receptor 9 signaling pathway
11529,GO:0007290,KDM3A H1-7 DMRTC2 TNP1,4,spermatid nucleus elongation
11530,GO:0038084,FOXC1 DAB2IP CADM4 XDH PTP4A3 FLT1 HRG PRKD1 IL12A IL12B VEGFA DLL1 ADGRA2 GAB1 TNXB JCAD PIK3CB SPRY2 ROBO1 VEGFC FLT3 CD63 ADAMTS3 FLT4 VEGFD SEMA6A PDGFRB TSPAN12 MYO1C CCBE1 DCN PGF PIK3CD PIK3CA NUS1 VEGFB NRP1 PRKD2 SMOC2 HSPB1 NRP2 KDR PDGFRA,43,vascular endothelial growth factor signaling pathway
11531,GO:1900060,ORMDL3 SPHK1 ORMDL1 ORMDL2 PRKAA1,5,negative regulation of ceramide biosynthetic process
11532,GO:0060083,KCNMA1 TACR1 TRPV1,3,smooth muscle contraction involved in micturition
11533,GO:0072137,DCHS2 DCHS1 SIX2,3,condensed mesenchymal cell proliferation
11534,GO:1902065,TMBIM6 AMIGO1 UFL1 BAIAP2 FYN KCNB1 IGF1R TUBA1A PCNA BCL11A AIFM1 TAF9 HPCA,13,response to L-glutamate
11535,GO:0060405,VIP OXT ADA EDNRB OXTR CNR1 P2RY1,7,regulation of penile erection
11536,GO:0030509,HOXA13 BMP7 GDF6 TRIM33 TGFB3 CHRDL2 USP9Y TGFB2 ACVRL1 UBE2D1 FBXL15 GDF9 SCUBE3 HES5 BMP8A ETV2 BMPR2 ACVR2B XIAP HTRA1 ZNF423 MSX2 GDF2 RUNX2 HFE RNF165 PELO TNFAIP6 NOTCH2 BMP8B FSTL3 SMAD7 NODAL SKOR2 KDR SMURF2 SMURF1 TWSG1 TOB1 SPART LEMD3 MICOS10-NBL1 LEFTY1 SKIL SCX CHRDL1 VWC2L FBN1 WNT1 GATA4 ELAPOR2 GDF1 CCN1 DLX3 SORL1 USP9X CRB2 HIPK2 PPARG DSG4 DDX5 MAPK3 MSX1 RGMA SFRP2 BMP5 WNT5A EGR1 PCSK6 UBE2O CER1 ITGA3 TBX20 BMP2 UBE2D3 RBPJ NUMA1 TMEM53 SMAD1 TMEM100 NEO1 GREM2 GDF3 TGFBR3 COMP ILK KCP BMP15 GATA6 FST HES1 BMPR1B TFAP2B GREM1 PPM1A ATF2 SMAD4 ZNF8 ABL1 SOSTDC1 LRP2 DKK1 GDF7 SMAD6 NOG DAND5 LEFTY2 GDF15 ENG SKI EXT1 SFRP4 FKBP8 TGFB1 ACVR2A SMAD2 TMPRSS6 PDCD4 FZD1 LEMD2 SOST SOX11 SMPD3 SULF1 BMPER SMAD5 CDH5 RGMB MEGF8 VWC2 BAMBI CHRD FSTL1 DLX5 HIVEP1 HJV NOTCH1 GPC3 NBL1 SMAD9 BMP6 ACVR1 LEF1 GDF5 DLX1 CTDSPL2 SLC39A5 FOXD1 BMPR1A BMP10 SFRP5 USP15 CRIM1 RBPMS2 BMP4 HTRA3 SFRP1 FAM83G,158,BMP signaling pathway
11537,GO:1900037,TMBIM6 ROCK2 HYOU1 CD34 VHL NOL3 CHCHD2 USP19 KCNK2 PIK3CB EPHA4 PINK1 ENO1 DDAH1 AJUBA,15,regulation of cellular response to hypoxia
11538,GO:0009257,MTHFD1L MTHFD1,2,10-formyltetrahydrofolate biosynthetic process
11539,GO:1900542,PGAM1 PRXL2C SNCA AK4 RD3 PDK4 NDUFC2 ARL2 ENO1 P2RX7 FIS1 GAPDHS GUCA1C SIRT6 EIF6 IFNG GCK TIGAR TSPO DNM1L PDK2 STAT3 PRKAA2 PDZD3 LOC118142757 ACTN3 FBP1 NOS2 NCOR1 HIF1A MLXIPL PID1 PRKAG2 RPTOR JMJD8 DNAJC30 IL4 TAFAZZIN VCP GUCA1A COX2 CBFA2T3 ADORA2B IER3 TREX1 SLC4A4 APP SPHK2 GUCA2A PPARA EP300 PRKAA1 NUPR1 HPCA ATP5IF1 IGF1 SLC25A12 TMSB4X BEND3 PINK1 RCVRN NCS1 FLCN MLST8 ZBTB7A ATPSCKMT ANTKMT ARNT SLC2A6 INS PSEN1 PRKAG1 GUCA1B PDK3 OGT GUCA2B INSR GPD1 PDK1 MTOR PPARGC1A PARP1 SLC4A1 NOS1 ZBTB20 LACC1 HTR2A GIT1 TREM2 DDIT4 HDAC4 NOS3,92,regulation of purine nucleotide metabolic process
